box x[-118,88] y[35,60] z[180,296]  cells=629694
chunks: 112 read, 0 absent from snapshot
non-air: 622379

  425591  minecraft:stone
   40771  minecraft:andesite
   39180  minecraft:diorite
   38153  minecraft:granite
   37342  minecraft:dirt
   10958  minecraft:water[level=0]
   10196  minecraft:gravel
    6862  minecraft:sand
    4853  minecraft:coal_ore
    4029  minecraft:copper_ore
    1159  minecraft:iron_ore
     955  minecraft:sandstone
     556  minecraft:seagrass
     432  minecraft:kelp_plant
     279  minecraft:lapis_ore
     227  minecraft:tall_seagrass[half=lower]
     206  minecraft:tall_seagrass[half=upper]
     175  minecraft:clay
     101  minecraft:bubble_column[drag=true]
      57  minecraft:smooth_basalt
      55  minecraft:magma_block
      36  minecraft:lava[level=0]
      32  minecraft:calcite
      20  minecraft:kelp[age=25]
      17  minecraft:amethyst_block
      17  minecraft:water[level=8]
      12  minecraft:lava[level=8]
      10  minecraft:glow_lichen[down=false,east=false,north=false,south=false,up=true,waterlogged=false,west=false]
       9  minecraft:water[level=4]
       8  minecraft:water[level=5]
       7  minecraft:glow_lichen[down=false,east=false,north=false,south=false,up=true,waterlogged=true,west=false]
       7  minecraft:water[level=3]
       6  minecraft:water[level=2]
       6  minecraft:water[level=1]
       5  minecraft:kelp[age=23]
       4  minecraft:cobblestone
       4  minecraft:lava[level=4]
       4  minecraft:lava[level=2]
       4  minecraft:water[level=7]
       4  minecraft:water[level=6]
       4  minecraft:kelp[age=21]
       3  minecraft:glow_lichen[down=false,east=false,north=true,south=false,up=false,waterlogged=true,west=false]
       3  minecraft:glow_lichen[down=false,east=false,north=false,south=true,up=false,waterlogged=true,west=false]
       2  minecraft:glow_lichen[down=false,east=false,north=false,south=true,up=false,waterlogged=false,west=false]
       2  minecraft:budding_amethyst
       2  minecraft:glow_lichen[down=false,east=false,north=false,south=false,up=false,waterlogged=false,west=true]
       2  minecraft:glow_lichen[down=false,east=false,north=true,south=false,up=false,waterlogged=false,west=false]
       2  minecraft:kelp[age=22]
       1  minecraft:glow_lichen[down=false,east=true,north=false,south=false,up=false,waterlogged=true,west=false]
       1  minecraft:glow_lichen[down=false,east=true,north=false,south=false,up=false,waterlogged=false,west=false]
       1  minecraft:glow_lichen[down=false,east=true,north=false,south=true,up=false,waterlogged=true,west=false]
       1  minecraft:grass_block[snowy=false]
       1  minecraft:amethyst_cluster[facing=down,waterlogged=false]
       1  minecraft:glow_lichen[down=false,east=false,north=false,south=false,up=false,waterlogged=true,west=true]
       1  minecraft:glow_lichen[down=false,east=false,north=false,south=true,up=true,waterlogged=false,west=false]
       1  minecraft:kelp[age=24]
       1  minecraft:kelp[age=20]
       1  minecraft:glow_lichen[down=false,east=false,north=false,south=true,up=false,waterlogged=false,west=true]
