box x[-270,-195] y[35,95] z[-540,-455]  cells=398696
chunks: 30 read, 0 absent from snapshot
non-air: 211371

  132626  minecraft:stone
   19889  minecraft:dirt
   13211  minecraft:granite
   11898  minecraft:andesite
   10941  minecraft:diorite
    6446  minecraft:water[level=0]
    5994  minecraft:grass_block[snowy=false]
    2508  minecraft:gravel
    1703  minecraft:coal_ore
    1339  minecraft:sand
    1216  minecraft:copper_ore
    1161  minecraft:short_grass
     484  minecraft:sandstone
     474  minecraft:stone_bricks
     422  minecraft:iron_ore
      99  minecraft:spruce_planks
      96  minecraft:oak_leaves[distance=4,persistent=false,waterlogged=false]
      93  minecraft:oak_leaves[distance=5,persistent=false,waterlogged=false]
      91  minecraft:tall_grass[half=lower]
      91  minecraft:tall_grass[half=upper]
      82  minecraft:lapis_ore
      80  minecraft:polished_andesite
      66  minecraft:oak_leaves[distance=3,persistent=false,waterlogged=false]
      55  minecraft:dark_oak_log[axis=y]
      54  minecraft:oak_leaves[distance=6,persistent=false,waterlogged=false]
      44  minecraft:bush
      27  minecraft:oak_leaves[distance=2,persistent=false,waterlogged=false]
      24  minecraft:oak_log[axis=y]
      23  minecraft:dandelion
      21  minecraft:dirt_path
      18  minecraft:magma_block
      17  minecraft:bubble_column[drag=true]
       9  minecraft:spruce_fence[east=false,north=false,south=false,waterlogged=false,west=false]
       9  minecraft:lantern[hanging=false,waterlogged=false]
       8  minecraft:azure_bluet
       7  minecraft:cornflower
       7  minecraft:spruce_stairs[facing=south,half=bottom,shape=straight,waterlogged=false]
       6  minecraft:oak_leaves[distance=1,persistent=false,waterlogged=false]
       5  minecraft:poppy
       5  minecraft:spruce_fence[east=true,north=true,south=false,waterlogged=false,west=true]
       4  minecraft:oxeye_daisy
       4  minecraft:spruce_fence[east=true,north=true,south=true,waterlogged=false,west=true]
       3  minecraft:glow_lichen[down=false,east=true,north=false,south=false,up=false,waterlogged=true,west=false]
       2  minecraft:glow_lichen[down=false,east=false,north=false,south=false,up=false,waterlogged=true,west=true]
       1  minecraft:glow_lichen[down=false,east=false,north=true,south=false,up=false,waterlogged=true,west=false]
       1  minecraft:spruce_fence[east=true,north=true,south=false,waterlogged=false,west=false]
       1  minecraft:glow_lichen[down=false,east=true,north=false,south=false,up=true,waterlogged=true,west=false]
       1  minecraft:glow_lichen[down=false,east=true,north=true,south=false,up=false,waterlogged=true,west=false]
       1  minecraft:spruce_fence[east=false,north=true,south=false,waterlogged=false,west=true]
       1  minecraft:glow_lichen[down=false,east=false,north=false,south=false,up=true,waterlogged=true,west=false]
       1  minecraft:glow_lichen[down=false,east=false,north=false,south=true,up=false,waterlogged=true,west=false]
       1  minecraft:glow_lichen[down=false,east=false,north=false,south=true,up=false,waterlogged=false,west=false]
       1  minecraft:glow_lichen[down=false,east=true,north=false,south=false,up=false,waterlogged=false,west=false]
