"category","project","external_id","name","kind","status","reference_xyz","tp_command","reference_type","derived","geometry_type","geometry_extent","parent","database_id"
"Surface builds","Mainstreet America","P01-BIKE-CORRAL","Arrival bicycle corral","custom","complete","-74, 65, 179","/tp @s -74 65 179","derived bounds center","true","bounds","x[-76…-73] y[64…66] z[177…181]","Visitor parking and Arrival Gardens","wft_5a42ed8ccbc1c191"
"Surface builds","Mainstreet America","GRID-E2-KITCHEN","Clubhouse kitchen","room","complete","114, 85, -18","/tp @s 114 85 -18","derived bounds center","true","bounds","x[107…120] y[81…89] z[-31…-5]","Neighborhood Clubhouse","wft_ccce5fcef2af04fb"
"Surface builds","Mainstreet America","GRID-E2-READING-ROOM","Clubhouse reading room","room","complete","114, 85, 3","/tp @s 114 85 3","derived bounds center","true","bounds","x[107…120] y[81…89] z[-3…9]","Neighborhood Clubhouse","wft_40325447b30c05de"
"Surface builds","Mainstreet America","GRID-W2-DESIGN-LOFT","Collaborative design loft","room","complete","-114, 77, -38","/tp @s -114 77 -38","derived bounds center","true","bounds","x[-130…-98] y[74…80] z[-50…-27]","Design Lab and Maker Commons building","wft_60397cdc4c11312a"
"Surface builds","Mainstreet America","GRID-W2-MAKER-YARD","Covered maker yard","landscape","complete","-124, 71, -7","/tp @s -124 71 -7","derived bounds center","true","bounds","x[-130…-118] y[67…74] z[-16…1]","Design Lab and Maker Commons building","wft_44440ee0a3bcb0b3"
"Surface builds","Mainstreet America","GRID-W2-BUILDING","Design Lab and Maker Commons building","building","complete","-114, 72, -24","/tp @s -114 72 -24","derived bounds center","true","bounds","x[-132…-96] y[63…81] z[-52…4]","Design Lab and Maker Commons","wft_7620e482af763214"
"Surface builds","Mainstreet America","C05","East Brick Courtyard Home","building","complete","70, 70, -70","/tp @s 70 70 -70","derived bounds center","true","bounds","x[62…78] y[64…75] z[-79…-61]","","wft_820c73121ea89764"
"Surface builds","Mainstreet America","P01-GARDEN-EAST","East formal Arrival Garden","landscape","complete","12, 68, 200","/tp @s 12 68 200","derived bounds center","true","bounds","x[6…18] y[64…72] z[181…218]","Visitor parking and Arrival Gardens","wft_ba2be6e86d6e08a2"
"Surface builds","Mainstreet America","C03","East Garden Villa","building","complete","70, 70, 30","/tp @s 70 70 30","derived bounds center","true","bounds","x[62…78] y[64…75] z[21…39]","","wft_93b4b02f8eefe133"
"Surface builds","Mainstreet America","P01-CANOPY-EAST","east solar ev canopy","building","complete","68, 68, 261","/tp @s 68 68 261","derived bounds center","true","bounds","x[52…84] y[65…71] z[256…266]","Visitor parking and Arrival Gardens","wft_b7a62ab464dc0173"
"Surface builds","Mainstreet America","C07","East Timber Lodge","building","complete","70, 70, -170","/tp @s 70 70 -170","derived bounds center","true","bounds","x[62…78] y[64…75] z[-179…-161]","","wft_870e290006617392"
"Surface builds","Mainstreet America","L02","Entrance monument billboard","landmark","complete","95, 72, 272","/tp @s 95 72 272","exact catalog point","false","point","x[95] y[72] z[272]","Arrival and Visitor Campus","wft_73304783ef6a0b93"
"Surface builds","Mainstreet America","B01","Guest & Design Center","building","complete","0, 72, 128","/tp @s 0 72 128","derived bounds center","true","bounds","x[-72…72] y[63…80] z[90…165]","Arrival and Visitor Campus","wft_c95d5ccedf49cb25"
"Surface builds","Mainstreet America","GRID-W2-MAKER-HALL","Maker hall and fabrication bay","room","complete","-122, 71, -23","/tp @s -122 71 -23","derived bounds center","true","bounds","x[-130…-115] y[68…73] z[-49…2]","Design Lab and Maker Commons building","wft_8fda1c020bf1a054"
"Surface builds","Mainstreet America","GRID-W2-MATERIAL-LIBRARY","Material library","room","complete","-105, 71, -39","/tp @s -105 71 -39","derived bounds center","true","bounds","x[-113…-97] y[68…73] z[-51…-28]","Design Lab and Maker Commons building","wft_7a3f651b521cd4f5"
